,Unnamed: 0,zipcode,rate,zip_pop,SQMI,city,county,county_pop,percent_pop,male_pop,fem_pop,wa_pop,ba_pop,ia_pop,aa_pop,na_pop,h_pop,tom_pop,working_pop,working_perc
0,0,99301,9.4,88426,685.57,Pasco,Franklin,97076,0.9108945568420619,50042,47034,38409,1973,482,2102,200,52240,1670,61608,0.6346367794305493
1,1,98444,8.6,36115,6.88,Tacoma,Pierce,922828,0.03913513677521705,463150,459678,596274,66213,10567,63526,15110,109959,61179,611733,0.6628895092043154
2,2,98387,7.0,49157,26.79,Spanaway,Pierce,922828,0.05326778121166675,463150,459678,596274,66213,10567,63526,15110,109959,61179,611733,0.6628895092043154
3,3,98837,6.4,45823,487.02,Moses Lake,Grant,99365,0.461158355557792,50884,48481,52080,931,860,950,140,42682,1722,61130,0.6152065616665828
4,4,98404,6.4,36406,7.85,Tacoma,Pierce,922828,0.039450471810564915,463150,459678,596274,66213,10567,63526,15110,109959,61179,611733,0.6628895092043154
5,5,98391,6.4,56846,40.31,Bonney Lake,Pierce,922828,0.06159977807348715,463150,459678,596274,66213,10567,63526,15110,109959,61179,611733,0.6628895092043154
6,6,98951,6.4,14412,131.17,Wapato,Yakima,256533,0.05617990667867292,128596,127937,106301,2197,9223,2976,211,131130,4495,157286,0.6131218985471655
7,7,98003,6.4,50704,12.08,Federal Way,King,2272571,0.022311294124584005,1150786,1121785,1293953,152734,13090,456352,17708,230889,107845,1588830,0.6991332724038105
8,8,98901,6.2,33463,159.09,Yakima,Yakima,256533,0.13044325681296362,128596,127937,106301,2197,9223,2976,211,131130,4495,157286,0.6131218985471655
9,9,98223,6.2,45652,336.58,Arlington,Snohomish,829331,0.0550467786685895,418871,410460,553800,30510,8630,102433,5028,91517,37413,557494,0.6722213446742012
10,10,98258,6.2,52983,39.51,Lake Stevens,Snohomish,829331,0.06388643376408214,418871,410460,553800,30510,8630,102433,5028,91517,37413,557494,0.6722213446742012
11,11,99206,6.0,40443,26.02,Spokane,Spokane,540700,0.07479748474200111,269920,270780,451633,10205,7576,12610,3225,34603,20848,352443,0.6518272609580174
12,12,98584,6.0,39418,323.29,Shelton,Mason,66028,0.5969891561155873,34397,31631,52239,898,2005,836,313,7179,2558,39905,0.6043648149270007
13,13,98022,5.8,23530,553.97,Enumclaw,King,2272571,0.010353911934984649,1150786,1121785,1293953,152734,13090,456352,17708,230889,107845,1588830,0.6991332724038105
14,14,0,5.4,0,00,00,00,0,0.0,0,0,0,0,0,0,0,0,0,0,
15,15,98902,5.4,48041,9.57,Yakima,Yakima,256533,0.18727025372953968,128596,127937,106301,2197,9223,2976,211,131130,4495,157286,0.6131218985471655
16,16,98168,5.4,37990,8.95,Seattle,King,2272571,0.01671674944369175,1150786,1121785,1293953,152734,13090,456352,17708,230889,107845,1588830,0.6991332724038105
