,Zip Code,Population
,99301,"84,124"
,98052,"75,765"
,98012,"75,045"
,98682,"66,229"
,98208,"60,087"
,99208,"57,606"
,98391,"55,662"
,98115,"53,729"
,98034,"52,841"
,98270,"52,756"
,98103,"52,210"
,98387,"52,017"
,99336,"51,839"
,98023,"51,811"
,98258,"51,374"
,98632,"50,944"
,98092,"50,845"
,98003,"50,501"
,98133,"50,153"
,98225,"50,046"
,98661,"49,822"
,98105,"49,448"
,98118,"48,937"
,98042,"48,639"
,98501,"46,170"
,98902,"45,913"
,98837,"45,729"
,98226,"45,373"
,98223,"45,253"
,98801,"44,861"
,99205,"43,901"
,98125,"43,386"
,98374,"42,974"
,99362,"42,706"
,98204,"42,496"
,98058,"42,366"
,99206,"42,139"
,98503,"42,023"
,98087,"41,958"
,98122,"41,541"
,98031,"41,464"
,98036,"41,132"
,98059,"41,076"
,98277,"40,112"
,98033,"39,726"
,98006,"39,595"
,98030,"39,526"
,98026,"39,340"
,98032,"38,985"
,98908,"38,936"
,98198,"38,919"
,98004,"38,632"
,98290,"38,516"
,98038,"37,624"
,98584,"37,360"
,98604,"37,041"
,98056,"36,950"
,98366,"36,620"
,98662,"36,573"
,98117,"36,365"
,98203,"36,164"
,98513,"36,117"
,98155,"36,081"
,98502,"35,954"
,98002,"35,915"
,98404,"35,357"
,98001,"35,297"
,98444,"35,083"
,99163,"34,815"
,99352,"34,772"
,98607,"34,674"
,98168,"34,614"
,98684,"34,394"
,98021,"34,359"
,98229,"34,182"
,99223,"34,013"
,98499,"33,589"
,98370,"33,071"
,99207,"32,732"
,98926,"32,559"
,99337,"32,393"
,98445,"32,304"
,98338,"31,996"
,98375,"31,973"
,98683,"31,969"
,98901,"31,873"
,98312,"31,762"
,98144,"31,648"
,98272,"31,517"
,98802,"31,480"
,98029,"31,480"
,98273,"30,924"
,98367,"30,710"
,98201,"30,669"
,98074,"30,370"
,98382,"30,366"
,98512,"30,251"
,98685,"30,199"
,98466,"29,989"
,98109,"29,376"
,98373,"29,283"
,98271,"29,120"
,98498,"29,062"
,98037,"28,938"
,98007,"28,576"
,98409,"28,403"
,98335,"28,128"
,98146,"27,879"
,98027,"27,808"
,99216,"27,597"
,98188,"27,524"
,98106,"27,489"
,98011,"27,396"
,98116,"27,190"
,98665,"27,175"
,98311,"27,170"
,98284,"27,159"
,98372,"27,127"
,98107,"27,116"
,98296,"27,032"
,98626,"26,579"
,98531,"26,501"
,98248,"26,404"
,98516,"26,336"
,98178,"26,282"
,98597,"26,222"
,98532,"26,100"
,98119,"26,094"
,98008,"26,091"
,98075,"25,762"
,98040,"25,506"
,99354,"25,433"
,98102,"25,396"
,98944,"25,194"
,98520,"25,064"
,98072,"24,931"
,98055,"24,668"
,98110,"24,557"
,98362,"24,462"
,98112,"24,412"
,98292,"24,141"
,98405,"24,053"
,98671,"23,782"
,98108,"23,759"
,99224,"23,705"
,98028,"23,556"
,98664,"23,141"
,98642,"22,934"
,98199,"22,890"
,98053,"22,857"
,98371,"22,741"
,98406,"22,708"
,98221,"22,707"
,98166,"22,599"
,98383,"22,541"
,98126,"22,030"
,98408,"22,016"
,98022,"22,007"
,98264,"22,005"
,98422,"22,002"
,99004,"21,836"
,98310,"21,635"
,98005,"21,603"
,99203,"21,500"
,98275,"21,409"
,98043,"21,265"
,98121,"21,010"
,98407,"20,993"
,98177,"20,561"
,98686,"20,547"
,99202,"20,526"
,99403,"20,492"
,99212,"20,395"
,98433,"19,771"
,98332,"19,722"
,99217,"19,226"
,99344,"19,198"
,98020,"18,594"
,98230,"18,413"
,98506,"18,232"
,98274,"18,052"
,98942,"17,949"
,99016,"17,913"
,99353,"17,685"
,98903,"17,577"
,99338,"17,266"
,98136,"17,245"
,98282,"17,235"
,98321,"16,749"
,98368,"16,702"
,98233,"16,615"
,98065,"15,779"
,99037,"15,647"
,98045,"15,611"
,98674,"15,426"
,98467,"15,382"
,98663,"15,263"
,99218,"15,233"
,98930,"14,952"
,98360,"14,591"
,98101,"14,528"
,98104,"14,469"
,98363,"14,245"
,99201,"14,147"
,99350,"14,101"
,98077,"13,862"
,99006,"13,649"
,98579,"13,440"
,99114,"13,134"
,98528,"13,082"
,98446,"13,068"
,98951,"13,061"
,98948,"12,972"
,98660,"12,917"
,98848,"12,782"
,98823,"12,514"
,98057,"12,351"
,99019,"12,261"
,98424,"12,019"
,98550,"11,691"
,98390,"11,413"
,98580,"11,358"
,98019,"11,290"
,98329,"11,175"
,99005,"11,159"
,98148,"11,068"
,98070,"10,886"
,98328,"10,505"
,98541,"10,343"
,98252,"10,246"
,99021,"10,139"
,99324,"10,045"
,98327,"9,974"
,98418,"9,813"
,99320,"9,756"
,98606,"9,551"
,98611,"9,478"
,98346,"9,371"
,98841,"9,135"
,99156,"8,901"
,98629,"8,872"
,99022,"8,740"
,98337,"8,582"
,98250,"8,568"
,99026,"8,521"
,98403,"8,441"
,99001,"8,400"
,98354,"8,185"
,98247,"8,068"
,99349,"7,856"
,98596,"7,856"
,98014,"7,736"
,98620,"7,711"
,98589,"7,699"
,98563,"7,636"
,98936,"7,589"
,98826,"7,505"
,98815,"7,451"
,98239,"7,409"
,99204,"7,375"
,98922,"7,162"
,98577,"7,121"
,98465,"7,092"
,98675,"7,083"
,98672,"7,062"
,98047,"7,024"
,98388,"6,975"
,98294,"6,936"
,98569,"6,826"
,98402,"6,805"
,98953,"6,684"
,98315,"6,407"
,98625,"6,397"
,98816,"6,219"
,98236,"6,184"
,99326,"6,116"
,98439,"6,095"
,98260,"5,979"
,98010,"5,963"
,98331,"5,951"
,99025,"5,910"
